End use fuel type,In.Vintage,Bedrooms,Floor Area,Stories,Occupancy,In.Orientation,In.Geometry Attic Type,In.Geometry Building Type Acs,In.Geometry Building Type Height,In.Geometry Building Number Units Mf,In.Geometry Floor Area,In.Geometry Foundation Type,Tenure type,In.Hvac Heating Efficiency,In.Hvac Heating Type And Fuel,In.Vacancy Status,In.Neighbors,In.Windows,Site energy (TBtu/yr),Clothes Dryer (group),In.Cooling Setpoint,In.Cooling Setpoint Has Offset,In.Cooling Setpoint Offset Magnitude,In.Door Area,In.Doors,In.Ducts,In.Eaves,In.Heating Setpoint,In.Heating Setpoint Has Offset,In.Heating Setpoint Offset Magnitude,In.Heating Setpoint Offset Period,In.Holiday Lighting,In.Hot Water Distribution,In.Hot Water Fixtures,In.Hvac Heating System Type,In.Interior Shading,In.Iso Rto Region,In.Lighting Interior Use,In.Lighting Other Use,In.Location Latitude,In.Location Longitude,In.Mechanical Ventilation,In.Natural Ventilation,In.Overhangs,In.Plug Load Diversity,In.Plug Loads,In.Pv,In.Refrigerator,In.Units Represented
electric,0.809034908,0.294117647,0.356337968,1.369863014,0.315597202,South,None,3 or 4 Unit,Multifamily with 2-4 Units,3,750-999,Slab,owner_occupied,Shared Heating,Natural Gas Shared Heating,Vacant,12,"Single, Clear, Metal",8.75E-07,Electric,68F,No,0F,20 ft^2,Fiberglass,None,2 ft,55F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Shared Heating,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,1,0.96,None,"EF 10.5, 100% Usage",1
electric,0.829568789,0.882352941,0.989249341,0.913242009,0.946791605,South,None,Single-Family Detached,Single-Family Detached,,4000+,Unvented Crawlspace,owner_occupied,Electric Heat Pump,,Occupied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric,0.81724846,0.588235294,0.509651021,0.456621005,0.315597202,Northwest,Vented Attic,Mobile Home,Mobile Home,None,1000-1499,Ambient,owner_occupied,"Fuel Wall/Floor Furnace, 60% AFUE",Natural Gas Fuel Wall/Floor Furnace,Occupied,Left/Right at 15ft,"Double, Clear, Non-metal, Air",0,Gas,75F,Yes,2F,20 ft^2,Fiberglass,"30% Leakage, R-4",2 ft,62F,Yes,6F,Night -3h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Fuel Wall/Floor Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,1,0.95,None,"EF 15.9, 100% Usage",1
electric,0.81724846,0.882352941,0.369705863,0.456621005,0.631194403,West,Vented Attic,Single-Family Detached,Single-Family Detached,None,750-999,Slab,renter_occupied,"Fuel Furnace, 76% AFUE",Natural Gas Fuel Furnace,Occupied,Left/Right at 15ft,"Single, Clear, Metal",8.33E-05,Electric,75F,No,0F,20 ft^2,Fiberglass,"20% Leakage, R-4",2 ft,72F,Yes,6F,Day and Night +5h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,0.5,0.91,None,"EF 15.9, 100% Usage",1
fossil,0.796714579,1.176470588,0.909016903,0.913242009,0.631194403,East,Vented Attic,Single-Family Detached,Single-Family Detached,None,2000-2499,Vented Crawlspace,owner_occupied,"Fuel Wall/Floor Furnace, 68% AFUE",Natural Gas Fuel Wall/Floor Furnace,Occupied,Left/Right at 15ft,"Single, Clear, Non-metal",0.033893843,Electric,65F,Yes,5F,20 ft^2,Fiberglass,None,2 ft,70F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Wall/Floor Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,0.5,0.91,None,"EF 17.6, 100% Usage",1
fossil,0.809034908,0.882352941,0.509651021,0.456621005,0.315597202,South,Vented Attic,Single-Family Detached,Single-Family Detached,None,1000-1499,Slab,owner_occupied,"Electric Baseboard, 100% Efficiency",Electricity Baseboard,Occupied,Left/Right at 15ft,"Double, Clear, Non-metal, Air",0,Electric,72F,Yes,2F,20 ft^2,Fiberglass,None,2 ft,72F,Yes,12F,Day +4h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Electric Baseboard & Wall Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,1,0.91,None,"EF 17.6, 100% Usage",1
fossil,0.813141684,0.588235294,0.509651021,0.456621005,0.631194403,Northwest,Vented Attic,Single-Family Detached,Single-Family Detached,None,1000-1499,Vented Crawlspace,owner_occupied,"Fuel Furnace, 76% AFUE",Natural Gas Fuel Furnace,Occupied,Left/Right at 15ft,"Double, Low-E, Non-metal, Air, M-Gain",0.011072592,Electric,65F,No,0F,20 ft^2,Fiberglass,"30% Leakage, Uninsulated",2 ft,70F,Yes,3F,Day -4h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.91,None,"EF 17.6, 100% Usage",1
fossil,0.809034908,1.176470588,0.898990981,0.913242009,0.631194403,Southeast,Vented Attic,Single-Family Attached,Single-Family Attached,None,2000-2499,Slab,renter_occupied,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,Occupied,27,"Double, Low-E, Non-metal, Air, M-Gain",0.00375789,Electric,72F,No,0F,20 ft^2,Fiberglass,"20% Leakage, R-4",2 ft,75F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,0.5,0.79,None,"EF 17.6, 100% Usage",1
fossil,0.813141684,0.294117647,0.257749738,0.913242009,0.315597202,North,Vented Attic,Single-Family Attached,Single-Family Attached,None,500-749,Heated Basement,renter_occupied,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,Occupied,27,"Double, Clear, Metal, Air",0.000769354,Electric,72F,No,0F,20 ft^2,Fiberglass,"0% Leakage, Uninsulated",2 ft,70F,Yes,3F,Day and Night -2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.79,None,"EF 17.6, 100% Usage",1
fossil,0.804928131,0.588235294,0.356337968,0.913242009,0.631194403,Southeast,None,2 Unit,Multifamily with 2-4 Units,2,750-999,Vented Crawlspace,owner_occupied,"Fuel Wall/Floor Furnace, 68% AFUE",Natural Gas Fuel Wall/Floor Furnace,Occupied,12,"Double, Clear, Non-metal, Air",0.002750698,Electric,60F,No,0F,20 ft^2,Fiberglass,None,2 ft,75F,Yes,12F,Night -3h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Fuel Wall/Floor Furnace,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,39.72,-104.75,None,"Year-Round, 3 days/wk",None,2,0.96,None,"EF 17.6, 100% Usage",1
